country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,3,7.45337E+18,
,,12624549,,0,16,1.01796E+19,
,,12624549,,0,11,1.85313E+18,
,,12624549,,0,7,2.3515E+18,
,,12624549,,0,1,3.1968E+18,
,,12624548,,0,2,1.10055E+19,
,,12624549,,0,12,5.86564E+18,
,,12624548,,0,12,4.98631E+18,
,,12624549,,0,2,1.81943E+19,
,,12624549,,0,19,1.45433E+19,
PL,4/7/17,12624548,1.55176E+19,2.009416,17,4.28384E+18,GAMES
,,12624549,,0,8,5.92643E+18,
,,12624548,,0,19,9.45034E+18,
,,12624548,,0,18,5.43498E+17,
,,12624549,,0,17,5.50038E+18,
,,12624549,,0,2,1.61465E+19,
,,12624549,,0,16,1.18664E+19,
,,12624548,,0,14,9.65748E+18,
,,12624549,,0,14,3.93423E+17,
,,12624548,,0,15,8.38942E+18,
,,12624548,,0,5,2.3584E+18,
,,12624548,,0,2,4.89171E+18,
,,12624548,,0,15,5.87337E+18,
,,12624548,,0,10,2.11496E+18,
,,12624548,,0,18,1.67437E+18,
,,12624548,,0,4,1.14741E+19,
,,12624548,,0,3,8.10639E+18,
,,12624549,,0,4,8.79038E+18,
,,12624548,,0,20,1.40108E+19,
,,12624549,,0,15,4.47618E+18,
TR,4/5/17,12624549,6.68232E+18,1.431776,9,1.58222E+19,GAMES
,,12624549,,0,3,5.32721E+18,
,,12624548,,0,15,1.41078E+19,
,,12624549,,0,12,5.75678E+18,
,,12624549,,0,16,1.08511E+19,
,,12624549,,0,17,1.16548E+19,
,,12624549,,0,11,1.11559E+19,
,,12624549,,0,14,1.4777E+19,
,,12624548,,0,19,9.3865E+18,
,,12624549,,0,1,6.48496E+18,
US,4/1/17,12624549,1.42271E+19,1.96,14,2.80269E+18,GAMES
US,4/2/17,12624549,1.80292E+19,1.96,14,2.80269E+18,GAMES
US,4/1/17,12624549,1.33573E+19,1.96,14,2.80269E+18,GAMES
,,12624548,,0,7,1.81379E+19,
,,12624548,,0,5,6.17148E+17,
,,12624548,,0,16,4.68302E+18,
,,12624548,,0,9,9.28613E+18,
,,12624548,,0,8,9.65959E+18,
,,12624549,,0,16,1.43108E+19,
SG,4/1/17,12624548,1.41831E+18,1.059217,6,6.71167E+18,GAMES
SG,4/6/17,12624548,4.66136E+18,49.19957,6,6.71167E+18,GAMES
US,4/6/17,12624548,2.99425E+17,1.99,6,9.41553E+18,GAMES
,,12624548,,0,20,3.48205E+18,
,,12624548,,0,4,1.4918E+19,
,,12624548,,0,8,1.62266E+19,
,,12624549,,0,17,1.63997E+19,
,,12624548,,0,17,6.75683E+18,
,,12624549,,0,9,1.1585E+19,
,,12624548,,0,1,2.8187E+17,
,,12624548,,0,3,6.22842E+18,
,,12624549,,0,11,1.51653E+19,
,,12624549,,0,20,5.23246E+18,
,,12624548,,0,6,1.37037E+18,
,,12624549,,0,20,2.44395E+18,
JP,4/3/17,12624548,1.07823E+19,1.080246,11,6.25488E+18,GAMES
JP,4/5/17,12624548,2.39598E+18,1.082601,11,6.25488E+18,GAMES
JP,4/6/17,12624548,1.77314E+19,1.083079,11,6.25488E+18,GAMES
,,12624548,,0,14,7.93576E+18,
,,12624548,,0,5,4.77484E+18,
,,12624548,,0,4,6.60753E+18,
,,12624549,,0,3,1.03116E+19,
,,12624549,,0,4,9.75257E+18,
,,12624549,,0,20,1.5062E+19,
,,12624549,,0,14,9.51312E+18,
,,12624548,,0,5,1.38367E+19,
,,12624548,,0,15,1.81409E+19,
,,12624549,,0,2,1.65E+18,
FR,4/2/17,12624549,1.70402E+19,21.334427,7,1.21436E+19,GAMES
US,4/7/17,12624548,1.49842E+19,4.99,6,1.48003E+17,GAMES
,,12624548,,0,7,7.32802E+18,
,,12624549,,0,10,1.50453E+19,
,,12624549,,0,17,2.18619E+18,
,,12624548,,0,6,1.78927E+19,
DE,4/4/17,12624549,4.4209E+18,8.520245,8,9.88371E+18,MOVIES
DE,4/4/17,12624549,1.11709E+19,4.25479,8,9.88371E+18,MOVIES
,,12624548,,0,18,2.97982E+18,
,,12624549,,0,11,1.00096E+18,
,,12624548,,0,15,3.88689E+18,
,,12624548,,0,9,8.42563E+17,
,,12624549,,0,7,1.05829E+19,
,,12624549,,0,2,3.79731E+18,
,,12624548,,0,1,1.47216E+19,
